Customer ID,Response Time (minutes),Product Quality (1-10),Customer Satisfaction (1-100),Region
CUST0491,8,3,12,East
CUST0492,46,3,8,North
CUST0493,16,1,1,East
CUST0494,14,8,69,West
CUST0495,12,6,53,South
CUST0496,51,8,50,South
CUST0497,23,9,86,South
CUST0498,15,5,51,North
CUST0499,28,3,12,East
CUST0500,34,5,34,West
